linh_vuc,dataset_name,type_file,link
Y tế sức khỏe,Danh sách cơ sở đủ điều kiện tiêm chủng,XLSX,https://opendata.thanhhoa.gov.vn/dataset/7fa86269-88a0-4b5b-94cf-139bc59b88f7/resource/ec3cbd23-9d94-4290-8121-7086b7151d0a/download/thong-bao-cp-nht-danh-sach-c-s-iu-kin-tiem-chng.xlsx
Y tế sức khỏe,Danh sách cơ sở đủ điều kiện khám sức khỏe,XLSX,https://opendata.thanhhoa.gov.vn/dataset/cfe22427-e0ea-4342-98ae-646e15bf29ad/resource/ba738bc3-2d18-4e30-ab5a-768aa6db1ef6/download/danh-sach-cong-b-c-s-iu-kin-kham-sc-khe.xlsx
Y tế sức khỏe,Danh sách tự công bố đảm bảo cơ sở xét nghiệm an toàn sinh học,XLSX,https://opendata.thanhhoa.gov.vn/dataset/ac34b878-3920-445d-8c27-9bf6eacb8db8/resource/07fafd8d-fea2-4cea-ba34-88dbc214e4ad/download/danh-sach-t-cong-b-m-bo-c-s-xet-nghim-an-toan-sinh-hc.xlsx
Khoa học và công nghệ,Ứng dụng công nghệ thông tin,PDF,https://opendata.thanhhoa.gov.vn/dataset/6198be0a-1947-4f22-aa40-5c1d1a1a53b1/resource/d6f58617-f497-45d8-b7d3-e486363f5e41/download/k-hoch-ng-dng-cntt-2020.pdf
Kinh tế,Quyết toán chi ngân sách cấp tỉnh theo từng lĩnh vực năm 2020,XLS,https://opendata.thanhhoa.gov.vn/dataset/eb2f3716-590e-4ea9-a85f-3086a03ae418/resource/991d50c7-c3de-4007-a919-9cc10cb2205d/download/quyt-toan-chi-ngan-sach-cp-tnh-theo-tng-lnh-vc-nm-2020.xls
Kinh tế,"Quyết toán chi ngân sách địa phương, chi ngân sách cấp tỉnh và chi ngân sách huyện theo cơ cấu chi năm 2020",XLS,https://opendata.thanhhoa.gov.vn/dataset/8fc80dc2-57c3-47b0-96d8-2d9565621c83/resource/698c145d-82cb-4364-85d7-99aaf3736a59/download/quyt-toan-chi-ngan-sach-a-phng-chi-ngan-sach-cp-tnh-va-chi-ngan-sach-huyn-theo-c-cu-chi-nm-2020.xls
Kinh tế,Quyết toán nguồn thu ngân sách nhà nước năm 2019,XLS,https://opendata.thanhhoa.gov.vn/dataset/aa7c899a-f824-4002-89e1-debd29a6dbba/resource/4f360764-5839-470d-9e19-835e8824f6f0/download/quyt-toan-ngun-thu-ngan-sach-nha-nc-nm-2019.xls
Kinh tế,Quyết toán nguồn thu ngân sách nhà nước năm 2020,XLS,https://opendata.thanhhoa.gov.vn/dataset/49085d6c-5a7c-4b83-a51d-112473f30165/resource/8f7b31c4-0d01-4056-af2f-8ee266e2c906/download/quyt-toan-ngun-thu-ngan-sach-nha-nc-nm-2020.xls
Kinh tế,"Quyết toán chi ngân sách cấp tỉnh theo cho từng cơ quan, tổ chức năm 2020",XLS,https://opendata.thanhhoa.gov.vn/dataset/c58edbb3-afab-482b-b62c-99a4dabad339/resource/b6149ee1-56fa-4a7e-a1fb-f6688c787994/download/quyt-toan-chi-ngan-sach-cp-tnh-theo-cho-tng-c-quan-t-chc-nm-2020.xls
Kinh tế,CÂN ĐỐI NGÂN SÁCH ĐỊA PHƯƠNG 3 THÁNG NĂM 2021,XLS,https://opendata.thanhhoa.gov.vn/dataset/6b71f74b-c07e-4c4e-98e8-564d5cca5d2c/resource/8e4f030f-4d67-4930-869c-d4e5cbb60e1a/download/can-i-ngan-sach-a-phng-3-thang-nm-2021.xls
Giao thông vận tải,"Lộ trình, tần suất, giá vé các tuyến xe buýt trên địa bàn tỉnh Thanh Hóa",PDF,https://opendata.thanhhoa.gov.vn/dataset/318f6a4f-753e-4b3f-a623-107b36f42325/resource/13f6df51-058f-4206-a309-a70bbffb59e1/download/xebuyt1.pdf
Kinh tế,Cân đối ngân sách địa phương quý 1 năm 2018,XLS,https://opendata.thanhhoa.gov.vn/dataset/ad3bb322-528b-42f8-88f2-112492d7b742/resource/4fd0198a-38b3-441e-8e9f-3295e2b456ba/download/can-i-ngan-sach-a-phng-quy-1-nm-2018.xls
Xây dựng,Phê duyệt kết quả kỳ thi sát hạch cấp chứng chỉ hành nghề môi giới bất động sản năm 2021,PDF,https://opendata.thanhhoa.gov.vn/dataset/b15408a1-8ff3-497d-aa06-75f3452d74be/resource/3a6f6920-266f-40a5-b0fa-71bafcae3887/download/phe-duyt-kt-qu-k-thi-sat-hch-cp-chng-ch-hanh-ngh-mo-gii-bt-ng-sn-nm-2021_compressed.pdf
Xây dựng,"Thông báo danh sách các đối tượng dự kiến được mua, thuê, thuê mua nhà ở xã hội tại Dự án Nhà ở xã hội phường Đông Hương, thành phố Thanh Hóa (Đợt 6)",PDF,https://opendata.thanhhoa.gov.vn/dataset/aa145768-5f08-42ed-8f98-80368681fa06/resource/91eee32d-281d-443b-a4ca-ffb3e95d6973/download/thong-bao-danh-sach-cac-i-tng-d-kin-c-mua-thue-thue-mua-nha-xa-hi-ti-d-an-nha-xa-hi-phng-ong-hng.pdf
Xây dựng,Tập chỉ số giá xây dựng Quý IV năm 2021 trên địa bàn tỉnh Thanh Hóa,PDF,https://opendata.thanhhoa.gov.vn/dataset/2d6022b9-99ee-4e99-8c41-39dfda224a53/resource/3ff2b719-cbe7-4bcf-9ac2-e8181606fbdb/download/ch-s-gia-quy-4-nm-2021.pdf
Xã Hội,CSDL về dân tộc,XLSX,https://opendata.thanhhoa.gov.vn/dataset/41863acd-7f8f-4fd2-82ba-f6d2c467c677/resource/07622da1-7f05-4fca-a616-873175fd3771/download/dan-s-dtts-cp-xa-63-tnh-thanh.xlsx
Xã Hội,Giải quyết hưởng trợ cấp đối với nhà giáo đã nghỉ hưu chưa được hưởng chế độ phụ cấp thâm niên trong lương hưu theo Nghị định số 14/2020/NĐ-CP,DOCX,https://opendata.thanhhoa.gov.vn/dataset/b92ce169-dbb5-4958-830c-c396e52b1bd9/resource/36689aba-bd1f-43c4-89e7-c9da3d413c33/download/gii-quyt-hng-tr-cp.docx
Xã Hội,Giải quyết hưởng BHXH một lần,DOCX,https://opendata.thanhhoa.gov.vn/dataset/159cc6b0-32e7-4025-a1df-ffc178801bdd/resource/07e9b41f-dc00-4482-b3cd-3b3aceef61bd/download/gii-quyt-hng-bhxh-mt-ln.docx
Xã Hội,CSDL về công tác dân tộc trên địa bàn tỉnh Thanh Hóa,XLS,https://opendata.thanhhoa.gov.vn/dataset/92ec154c-0ff1-44de-a799-c51485276431/resource/815600b4-cf2e-446e-ba5e-507c8d7f7009/download/s-lng-t-l-cac-thon-bn-vung-dan-tc-thiu-s-a-co-ng-giao-thong-c-u-t-nang-cp-ci-to-xay-dng-mi-nm-20.xls
Xã Hội,CSDL về công tác dân tộc trên địa bàn tỉnh Thanh Hóa,XLS,https://opendata.thanhhoa.gov.vn/dataset/92ec154c-0ff1-44de-a799-c51485276431/resource/8e7edb7d-eb6f-48d1-af7a-0460fee403ab/download/danh-sach-h-ngheo-va-h-cn-ngheo-ngi-dan-tc-thiu-s-nm-2020.xls
Xã Hội,Thanh toán chế độ ốm đau đối với người lao động điều trị Covid-19,PDF,https://opendata.thanhhoa.gov.vn/dataset/c233d7e8-824d-4609-b584-116a0081900b/resource/7200c065-2af2-4c4b-8ec7-e7019ce2308e/download/199_vv-h-s-thanh-toan-m-covid.pdf
Xã Hội,"Danh sách 74 huyện nghèo và 54 xã đặc biệt khó khăn vùng bãi ngang, ven biển và hải đảo giai đoạn 2021-2025",DOCX,https://opendata.thanhhoa.gov.vn/dataset/90311f6a-1c5f-4a4c-b599-36b40aa63c3c/resource/c07ab6a3-4c3d-4148-95f2-9d7b0da6d6b0/download/duyt-danh-sach-74-huyn-ngheo-va-54-xa-c-bit-kho-khn-vung-bai-ngang-ven-bin-va-hi-o-giai-on-2021.docx
Xã Hội,Phối hợp thu hồi trợ cấp thất nghiệp,PDF,https://opendata.thanhhoa.gov.vn/dataset/b6e53cf5-6adf-42ce-8b30-52fc2aeecceb/resource/87a33f78-50a3-45c5-a87d-cb4d697fb72f/download/2022.11.16_cv-2011_bhxh-tnh-khtc_phi-hp-thu-hi-tr-cp-tht-nghip.pdf
Xã Hội,Kết quả triển khai thực hiện các nhiệm vụ được giao tại kế hoạch chuyển đổi số của cơ quan ban dân tộc năm 2021,PDF,https://opendata.thanhhoa.gov.vn/dataset/339487c5-92f0-4f45-996e-b9fb04371fcc/resource/121b33e3-dbd6-4ec1-b7e9-32bf53bea64d/download/chuyn-i-s.pdf
Xã Hội,Kết quả giải quyết thủ tục hành chính quý III/2022,PDF,https://opendata.thanhhoa.gov.vn/dataset/d94cbf6c-a352-40f7-8505-0606ec05f3c8/resource/e9eaa11c-d9b5-4aef-b431-abf18a4aca1c/download/tthc-quiiii.pdf
Xã Hội,Kết quả giải quyết thủ tục hành chính quý IV/2022,PDF,https://opendata.thanhhoa.gov.vn/dataset/9fa86236-b8e2-4d3a-b531-23f08ef598bf/resource/8911f2c0-59ae-4a5f-8c16-f38b2f3bd447/download/th-tc-hanh-chinh-quiiv.pdf
Xã Hội,Kết quả giải quyết thủ tục hành chính quý II/2022,PDF,https://opendata.thanhhoa.gov.vn/dataset/f9e5e589-47a5-4b9f-88f9-007e19beed2c/resource/bb6752e6-987a-4f47-99ec-167ea0f150f8/download/tthc-quiii.pdf
Xã Hội,Danh sách tổ chức hành nghề công chứng trên địa bàn Tỉnh,XLS,https://opendata.thanhhoa.gov.vn/dataset/ad2a7578-9461-44f4-9494-2132c9d25b25/resource/44ad55d2-47a0-475c-9532-7022019b7a41/download/ds-cac-to-chuc-cc.xls
Xã Hội,Danh sách UBND cấp xã đạt chuẩn tiếp cận pháp luật năm 2020,PDF,https://opendata.thanhhoa.gov.vn/dataset/50a6a9e1-c301-491b-98dd-cd898afbe3cf/resource/ce988b5c-66b4-408a-8942-4b36daafe44c/download/ds-chuan-tcpl.pdf
Xã Hội,"Danh sách các xã, phường, thị trấn đạt chuẩn tiếp cận pháp luật năm 2021",DOCX,https://opendata.thanhhoa.gov.vn/dataset/c03659c6-733e-43da-8d3f-9b426c08e897/resource/fcf14d37-9e68-4d99-9a21-cc0f2a289b20/download/danh-sach-cac-xa-dat-chuan-tiep-can-phap-luat-2021.docx
Xã Hội,Danh sách đấu giá viên đăng ký hành nghề trên địa bàn tỉnh Thanh Hóa,XLS,https://opendata.thanhhoa.gov.vn/dataset/48eaeb79-c26e-4ba4-baa7-d2d9aa797caf/resource/f2eb6edb-23b9-4cd0-9e58-e27a616b1413/download/dsdgia.xls
Xã Hội,"Công khai minh bạch trong công tác phòng, chống tham nhũng năm 2021",XLSX,https://opendata.thanhhoa.gov.vn/dataset/2e6fe490-e8c7-4d0e-94a1-d2ee58e8a26d/resource/48b0c8a6-fc62-4ad3-8d00-0d59d2f65338/download/cong-khai-minh-bch-trong-cong-tac-phong-chng-tham-nhng-nm-2021.xlsx
Xã Hội,"Thông báo về việc công bố số đơn vị bầu cử, danh sách các đơn vị bầu cử và số đại biểu được bầu ở mỗi đơn vị bầu cử đại biểu Quốc hội khóa XV và đơn vị bầu cử đại biểu Hội đồng nhân dân tỉnh nhiệm kỳ 2021-2026",PDF,https://opendata.thanhhoa.gov.vn/dataset/5da6ef76-14a6-41d2-9ca4-9d97eeae3367/resource/9ce21fa7-e655-4e5c-a093-24c150243a01/download/thong-bao-v-vic-cong-b-s-n-v-bu-c-danh-sach-cac-n-v-bu-c.pdf
Xã Hội,Lĩnh vực thành lập và hoạt động của doanh nghiệp,XLSX,https://opendata.thanhhoa.gov.vn/dataset/cfa5a36f-c2e1-4740-b421-c6954217455a/resource/57cffa9d-bbff-4919-b5d1-2d562d480e00/download/lnh-vc-thanh-lp-va-hot-ng-ca-doanh-nghip.xlsx
Xã Hội,Thông báo lịch tiếp công dân của Giám đốc Sở Khoa học và Công nghệ năm 2022,PDF,https://opendata.thanhhoa.gov.vn/dataset/ce1847e7-61b4-4a47-8895-51bbe7650e9a/resource/59aa81cc-5459-4d14-84c4-c3731d6556d7/download/1.-tb-lich-truc-tiep-dan-2022.pdf
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/faf7d973-6811-4fd6-bb42-d5b050701d99/download/s-gdt-h-chi-minh_gdtx.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/703bc229-edeb-431c-8ed0-a238cae550f2/download/s-gdt-h-chi-minh_mn.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/72e1b836-4241-44b2-b3f9-89d979cccdf5/download/s-gdt-h-chi-minh-_th.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/cd80e3d9-5d0b-44ed-9cee-ea102b3ece79/download/s-gdt-h-chi-minh_thcs.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hồ Chí Minh,XLSX,https://opendata.thanhhoa.gov.vn/dataset/86b0b042-b20e-4b6b-b1c2-5c439aed17c7/resource/d8594db0-dc6b-4dc7-9a99-0fd1c18b5b7e/download/s-gdt-h-chi-minh_thpt.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/7e0b86a1-2c50-4702-a7c6-514fe87e6ef1/download/s-gdt-ha-ni_gdtx.xlsx
Giáo dục,Danh sách trường học tại Thành phố Hà Nội,XLSX,https://opendata.thanhhoa.gov.vn/dataset/a371ad01-63f8-4e10-bc83-3f4e0fc098b9/resource/e4168a92-3011-4737-83eb-9e8ed011cc6c/download/s-gdt-ha-ni_mn.xlsx
